,idea,title_a,title_b,title_b_preferred,prompt,chosen,rejected
1076,"Distribution differences: KS-test (D statistic), KL divergence, Wasserstein. Jensen-Shannon divergence",KS-test vs KL Divergence: Which One Should You Use?,Wasserstein & Jensen-Shannon: Mastering Distribution Comparisons,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: distribution differences: ks-test (d statistic), kl divergence, wasserstein. jensen-shannon divergence\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'KS-test vs KL Divergence: Which One Should You Use?'}]","[{'role': 'assistant', 'content': 'Wasserstein & Jensen-Shannon: Mastering Distribution Comparisons'}]"
1077,Data science project management,7 Steps to Manage Data Science Projects Like a Pro,From Chaos to Control: Master Data Science Project Management,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: data science project management\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': '7 Steps to Manage Data Science Projects Like a Pro'}]","[{'role': 'assistant', 'content': 'From Chaos to Control: Master Data Science Project Management'}]"
1078,Data science project management,7 Steps to Manage Data Science Projects Like a Pro,The Ultimate Guide to Data Science Project Management,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: data science project management\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'The Ultimate Guide to Data Science Project Management'}]","[{'role': 'assistant', 'content': '7 Steps to Manage Data Science Projects Like a Pro'}]"
1079,topological data analysis,Simplifying Complex Data with Topological Analysis,Unveiling Patterns: Topological Data Analysis 101,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: topological data analysis\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Simplifying Complex Data with Topological Analysis'}]","[{'role': 'assistant', 'content': 'Unveiling Patterns: Topological Data Analysis 101'}]"
1080,LLM evals,The 7 Crucial Tests for Evaluating LLMs Effectively,My Secret Method for LLM Evaluation Success,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: llm evals\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'The 7 Crucial Tests for Evaluating LLMs Effectively'}]","[{'role': 'assistant', 'content': 'My Secret Method for LLM Evaluation Success'}]"
1081,Variational autoencoders,"Encode, Decode, Learn: A Guide to Variational Autoencoders",Master Variational Autoencoders in Just 5 Minutes!,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: variational autoencoders\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Master Variational Autoencoders in Just 5 Minutes!'}]","[{'role': 'assistant', 'content': 'Encode, Decode, Learn: A Guide to Variational Autoencoders'}]"
1082,causal discovery,How Causal Discovery Can Revolutionize Your Work,Causal Discovery Made Easy: A Beginner’s Guide,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: causal discovery\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Causal Discovery Made Easy: A Beginner’s Guide'}]","[{'role': 'assistant', 'content': 'How Causal Discovery Can Revolutionize Your Work'}]"
1083,How to handle imbalanced data in ML,ML Mastery: Fixing Imbalanced Data in 5 Steps,Avoid These 3 Mistakes When Handling Imbalanced Data,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: how to handle imbalanced data in ml\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Avoid These 3 Mistakes When Handling Imbalanced Data'}]","[{'role': 'assistant', 'content': 'ML Mastery: Fixing Imbalanced Data in 5 Steps'}]"
1084,Intro independent component analysis,5 Key Concepts in Independent Component Analysis,Independent Component Analysis: The Basics Explained,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: intro independent component analysis\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Independent Component Analysis: The Basics Explained'}]","[{'role': 'assistant', 'content': '5 Key Concepts in Independent Component Analysis'}]"
1085,persistent homology,Simplifying Persistent Homology for Beginners,Master Persistent Homology: A Step-by-Step Guide,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: persistent homology\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Simplifying Persistent Homology for Beginners'}]","[{'role': 'assistant', 'content': 'Master Persistent Homology: A Step-by-Step Guide'}]"
1086,Practical use case with decision trees,Real-World Decision Trees: A Practical Guide,Build a Decision Tree in Minutes: Practical Example,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: practical use case with decision trees\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Real-World Decision Trees: A Practical Guide'}]","[{'role': 'assistant', 'content': 'Build a Decision Tree in Minutes: Practical Example'}]"
1087,Evaluating binary classification models,Mastering Binary Classification Model Evaluation,Spotting Model Weaknesses: Binary Classification Edition,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: evaluating binary classification models\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Mastering Binary Classification Model Evaluation'}]","[{'role': 'assistant', 'content': 'Spotting Model Weaknesses: Binary Classification Edition'}]"
1088,Hyperparameter optimization,5 Key Hyperparameter Optimization Techniques Explained,Hyperparameter Optimization: A Beginner's Guide,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: hyperparameter optimization\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': ""Hyperparameter Optimization: A Beginner's Guide""}]","[{'role': 'assistant', 'content': '5 Key Hyperparameter Optimization Techniques Explained'}]"
1089,Fine-tuning LLMs for computer use,5 Steps to Fine-Tune LLMs Like a Pro,How I Fine-Tuned an LLM for Computer Use,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: fine-tuning llms for computer use\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How I Fine-Tuned an LLM for Computer Use'}]","[{'role': 'assistant', 'content': '5 Steps to Fine-Tune LLMs Like a Pro'}]"
1090,Fuzzy decision trees,How Fuzzy Decision Trees Simplify Complex Choices,Build Better Decisions with Fuzzy Logic Trees,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: fuzzy decision trees\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Build Better Decisions with Fuzzy Logic Trees'}]","[{'role': 'assistant', 'content': 'How Fuzzy Decision Trees Simplify Complex Choices'}]"
1091,Habituation in causal inference,Understanding Habituation in Causal Inference,The Role of Habituation in Accurate Causal Inference,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: habituation in causal inference\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Understanding Habituation in Causal Inference'}]","[{'role': 'assistant', 'content': 'The Role of Habituation in Accurate Causal Inference'}]"
1092,Full-stack data science skillset,Build a Full-Stack Data Scientist Skillset,Full-Stack Data Science: Your Ultimate Guide,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: full-stack data science skillset\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Full-Stack Data Science: Your Ultimate Guide'}]","[{'role': 'assistant', 'content': 'Build a Full-Stack Data Scientist Skillset'}]"
1093,How to think like a data scientist,Master Data Science Thinking in 15 Minutes,From Novice to Data Scientist: Thinking Strategies,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: how to think like a data scientist\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Master Data Science Thinking in 15 Minutes'}]","[{'role': 'assistant', 'content': 'From Novice to Data Scientist: Thinking Strategies'}]"
1094,Genetic algorithm,How Genetic Algorithms Can Solve Complex Problems,Build Your Own Genetic Algorithm in 15 Minutes,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: genetic algorithm\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How Genetic Algorithms Can Solve Complex Problems'}]","[{'role': 'assistant', 'content': 'Build Your Own Genetic Algorithm in 15 Minutes'}]"
1095,5 physics principles that made me a better data scientist,How Physics Made Me a Better Data Scientist,Apply These 5 Physics Principles to Data Science,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: 5 physics principles that made me a better data scientist\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How Physics Made Me a Better Data Scientist'}]","[{'role': 'assistant', 'content': 'Apply These 5 Physics Principles to Data Science'}]"
1096,the Mapper algorithm,5 Key Insights Into the Mapper Algorithm,Mapper Algorithm: The Power Behind Data Analysis,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: the mapper algorithm\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Mapper Algorithm: The Power Behind Data Analysis'}]","[{'role': 'assistant', 'content': '5 Key Insights Into the Mapper Algorithm'}]"
1097,principal component analysis,How PCA Can Transform Your Data Analysis,Unleash the Power of PCA with These Tips,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: principal component analysis\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How PCA Can Transform Your Data Analysis'}]","[{'role': 'assistant', 'content': 'Unleash the Power of PCA with These Tips'}]"
1098,Genetic algorithm,5 Key Concepts of Genetic Algorithms Simplified,Master Genetic Algorithms with These 3 Simple Steps,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: genetic algorithm\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Master Genetic Algorithms with These 3 Simple Steps'}]","[{'role': 'assistant', 'content': '5 Key Concepts of Genetic Algorithms Simplified'}]"
